City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
187,Megion,RU,61.0296,76.1136,59.02,73,75,7.47,broken clouds
188,Sioux Lookout,CA,50.1001,-91.917,69.87,52,75,2.3,broken clouds
189,Khatanga,RU,71.9667,102.5,53.24,75,89,5.14,overcast clouds
190,Huron,US,41.1501,-82.5499,84.18,72,100,8.34,overcast clouds
191,Stolin,BY,51.8912,26.846,67.57,76,68,6.62,broken clouds
192,Pisco,PE,-13.7,-76.2167,64.45,72,0,11.5,clear sky
193,Whitehorse,CA,60.7161,-135.0538,70.11,70,75,11.5,light intensity shower rain
194,Westport,US,41.1415,-73.3579,94.14,57,0,14.97,clear sky
195,Sao Felix Do Xingu,BR,-6.6447,-51.995,89.67,34,49,1.3,scattered clouds
196,Angoche,MZ,-16.2325,39.9086,71.73,83,0,4.81,clear sky
197,Lugo,ES,43.0,-7.5,65.77,95,95,8.01,overcast clouds
198,Muskegon,US,43.3,-86.1334,87.94,63,40,9.22,scattered clouds
199,Priyutovo,RU,53.9,53.9333,61.81,66,12,3.94,few clouds
200,Juneau,US,58.3019,-134.4197,62.83,89,75,6.91,broken clouds
201,San Buenaventura,MX,27.0833,-101.5333,102.47,27,40,11.5,scattered clouds
202,Lorengau,PG,-2.0226,147.2712,81.55,80,100,8.99,overcast clouds
203,Azare,NG,11.6765,10.1948,77.29,75,100,6.69,overcast clouds
204,Cravo Norte,CO,6.3017,-70.2041,82.18,72,98,1.57,overcast clouds
205,Seoul,KR,37.5683,126.9778,80.17,94,75,3.44,broken clouds
206,Aklavik,CA,68.2191,-135.0107,75.2,53,75,8.05,haze
207,Talakan,RU,50.3167,130.3667,70.74,83,100,11.05,moderate rain
208,Camabatela,AO,-8.1881,15.375,64.53,65,43,4.23,scattered clouds
209,Road Town,VG,18.4167,-64.6167,84.24,74,40,11.5,scattered clouds
210,Pallasovka,RU,50.05,46.8833,78.42,37,68,10.36,broken clouds
211,Rohnert Park,US,38.3396,-122.7011,95.13,47,0,11.5,clear sky
212,Aksu,CN,41.1231,80.2644,77.5,37,16,7.9,few clouds
213,Shizunai,JP,42.3339,142.3669,63.43,82,100,7.07,overcast clouds
214,Cap Malheureux,MU,-19.9842,57.6142,67.46,77,18,5.99,few clouds
215,Muli,MV,2.9167,73.5667,81.01,79,100,19.35,light rain
216,Yulara,AU,-25.2406,130.9889,48.07,46,0,8.75,clear sky
217,Beringovskiy,RU,63.05,179.3167,56.32,57,0,5.32,clear sky
218,Ostrovnoy,RU,68.0531,39.5131,62.22,86,93,16.35,overcast clouds
219,Aberystwyth,GB,52.4155,-4.0829,48.7,73,44,5.41,scattered clouds
220,Antigonish,CA,45.6169,-61.9986,85.35,60,53,1.01,broken clouds
221,Domoni,KM,-12.2569,44.5319,73.54,83,2,7.27,clear sky
222,Methoni,GR,36.8197,21.7049,83.21,55,45,6.62,scattered clouds
223,Port Hardy,CA,50.6996,-127.4199,62.78,67,75,11.5,broken clouds
224,Lebu,CL,-37.6167,-73.65,50.7,66,99,5.3,overcast clouds
225,Mulege,MX,26.8833,-111.9833,94.08,49,1,15.88,clear sky
226,Koronowo,PL,53.3137,17.937,77.31,54,58,9.91,broken clouds
227,Melilla,ES,35.2937,-2.9383,80.98,78,0,3.44,light rain
228,Cuamba,MZ,-14.8031,36.5372,71.26,49,91,1.81,overcast clouds
229,Chokurdakh,RU,70.6333,147.9167,46.45,66,100,13.11,overcast clouds
230,Kavaratti,IN,10.5669,72.642,78.55,85,100,32.12,light rain
231,Gemena,CD,3.25,19.7667,69.82,98,83,1.34,broken clouds
232,Victor Harbor,AU,-35.5667,138.6167,50.68,89,53,16.44,broken clouds
233,Leh,IN,34.1667,77.5833,64.89,41,47,4.79,scattered clouds
234,Cabedelo,BR,-6.9811,-34.8339,75.87,83,12,12.41,few clouds
235,Tondano,ID,1.3038,124.9112,68.41,90,99,3.27,overcast clouds
