City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
219,Aberystwyth,GB,48.7,scattered clouds,52.4155,-4.0829,Plas Nanteos Mansion
221,Domoni,KM,73.54,clear sky,-12.2569,44.5319,Al Djadid
223,Port Hardy,CA,62.78,broken clouds,50.6996,-127.4199,Quarterdeck Inn Resort & Marina
224,Lebu,CL,50.7,overcast clouds,-37.6167,-73.65,Hotel Plaza Lebu
226,Koronowo,PL,77.31,broken clouds,53.3137,17.937,4 Kąty Apartamenty Koronowo
228,Cuamba,MZ,71.26,overcast clouds,-14.8031,36.5372,Daania Residence
230,Kavaratti,IN,78.55,light rain,10.5669,72.642,Madheena Hotel
231,Gemena,CD,69.82,broken clouds,3.25,19.7667,Hôtel Goshen
232,Victor Harbor,AU,50.68,broken clouds,-35.5667,138.6167,The Anchorage Hotel
233,Leh,IN,64.89,scattered clouds,34.1667,77.5833,Hotel Samaya
234,Cabedelo,BR,75.87,few clouds,-6.9811,-34.8339,Hotel Almagre
235,Tondano,ID,68.41,overcast clouds,1.3038,124.9112,Yama Resort Tondano
236,Salym,RU,58.23,few clouds,60.0625,71.4789,Gostinitsa Salym
237,Asilah,MA,78.76,clear sky,35.465,-6.0348,Asilah 32
238,Cairns,AU,67.95,broken clouds,-16.9167,145.7667,Palm Royale Cairns
239,Port-Gentil,GA,74.03,overcast clouds,-0.7193,8.7815,Hôtel L'Hirondelle
240,Ayan,RU,55.92,light rain,56.45,138.1667,Gostinitsa
242,Terrace,CA,66.11,broken clouds,54.5163,-128.6035,"Holiday Inn Express & Suites Terrace, an IHG Hotel"
243,Souillac,MU,70.18,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
244,Castro,BR,65.3,broken clouds,-24.7911,-50.0119,Hotel Buganville Express
246,Esmeraldas,BR,77.86,scattered clouds,-19.7625,-44.3139,Parque do Avestruz Eco Resort
247,Olinda,BR,76.73,scattered clouds,-8.0089,-34.8553,Inn of the Four Corners
248,Carnarvon,AU,58.84,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
249,Shelburne,CA,78.24,overcast clouds,44.0787,-80.2041,Shelburne motel
250,Pevek,RU,36.86,light rain,69.7008,170.3133,Munitsipal'naya Gostinitsa
251,Leningradskiy,RU,38.07,overcast clouds,69.3833,178.4167,Gostinitsa
252,Port Elizabeth,ZA,52.32,clear sky,-33.918,25.5701,Herms Restaurant and Boutique Hotel
253,Fortuna,US,74.93,clear sky,40.5982,-124.1573,The Redwood Riverwalk
254,Lata,PT,66.81,scattered clouds,40.1629,-8.3327,Magnolias Cottage
255,Port Loko,SL,72.91,light rain,8.7667,-12.7833,REGENT PALACE HOTEL
256,Malindi,KE,74.41,clear sky,-3.2175,40.1191,Sandies Tropical Village
259,Hofn,IS,50.27,scattered clouds,64.2539,-15.2082,House On The Hill - Guesthouse
261,Bourges,FR,78.39,broken clouds,47.25,2.4167,Bell Fourche City
262,Jiuquan,CN,77.09,clear sky,39.7432,98.5174,Jiuquan Hotel
263,Tokur,RU,59.94,broken clouds,53.1333,132.9,"Mini-Gostinitsa ""Ekimchan"""
264,Mikhaylovka,RU,74.7,light rain,50.06,43.2379,Zhemchuzhina
267,Karpathos,GR,75.16,light rain,35.507,27.2132,Apolis beachscape hotel
268,Carhuamayo,PE,42.91,overcast clouds,-10.9167,-76.0333,HOTEL TACNA'S.
269,Bubaque,GW,79.75,light rain,11.2833,-15.8333,Ponta Anchaca
270,Ancud,CL,43.23,overcast clouds,-41.8697,-73.8203,Panamericana Hotel Ancud
272,Tual,ID,79.83,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
273,Fairbanks,US,75.09,few clouds,64.8378,-147.7164,Holiday Inn Express Northern Lights Inn
275,Klaksvik,FO,47.32,overcast clouds,62.2266,-6.589,Hotel Klaksvík
276,Khandyga,RU,68.68,broken clouds,62.6667,135.6,Prezidentskaya Gostinitsa
281,Kutum,SD,78.4,broken clouds,14.2,24.6667,مسجد دليبة العتيق
282,Lukovetskiy,RU,59.97,overcast clouds,64.2956,41.9211,Gostinitsa
284,Geraldton,AU,48.61,overcast clouds,-28.7667,114.6,Northampton Motor Hotel
285,Berlevag,NO,58.8,scattered clouds,70.8578,29.0864,Berlevåg camping & Appartement AS
286,Kaduna,NG,68.77,broken clouds,10.5222,7.4383,Asaa Pyramid Hotel
287,Longyearbyen,SJ,46.47,overcast clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
288,Talara,PE,77.76,broken clouds,-4.5772,-81.2719,Hotel Gran Palma Talara
289,Muisne,EC,75.9,overcast clouds,0.6,-80.0333,Hotel Galapagos
290,Naron,ES,68.85,overcast clouds,43.5167,-8.1528,Hotel Valcarce Ferrol
292,Loudi,CN,78.98,overcast clouds,27.7344,111.9944,418 Huatian Hotel
296,Goderich,CA,75.52,overcast clouds,43.7501,-81.7165,Bedford Hotel
297,Caravelas,BR,69.17,few clouds,-17.7125,-39.2481,Pousada Liberdade
298,Dali,CN,63.3,overcast clouds,25.7,100.1833,LUX* Tea Horse Road Dali
299,Kruisfontein,ZA,52.23,broken clouds,-34.0033,24.7314,40b Overnight Accommodation
300,Yamoussoukro,CI,75.09,few clouds,6.8206,-5.2767,FLORENCE HÔTEL FIRENZE YAMOUSSOUKRO
302,Ginda,IN,65.95,overcast clouds,30.6945,78.4932,Shivlinga Resort
304,Ilulissat,GL,44.62,overcast clouds,69.2167,-51.1,Hotel Arctic
305,Ribeira Grande,PT,75.6,scattered clouds,38.5167,-28.7,Casa da Japoneira
306,Alice Springs,AU,51.35,few clouds,-23.7,133.8833,Stay at Alice Springs Hotel (formerly Aurora Alice Springs)
307,Mayumba,GA,68.41,scattered clouds,-3.432,10.6554,LIKWALE LODGE
308,Waipawa,NZ,51.55,scattered clouds,-41.4122,175.5153,The Royal Hotel
310,Akcaabat,TR,78.67,broken clouds,41.0212,39.5715,DoubleTree by Hilton Trabzon
311,Ambon,ID,78.24,scattered clouds,-3.6954,128.1814,Hotel Santika Premiere Ambon
312,Nurota,UZ,75.31,broken clouds,40.5614,65.6886,Guest House Ruslan Nurata & Tours
315,Murgab,TM,76.87,clear sky,37.4966,61.9714,Mary myhmanhanasy
317,Telfs,AT,74.68,broken clouds,47.3,11.0667,Interalpen-Hotel Tyrol
318,Maragogi,BR,74.62,clear sky,-9.0122,-35.2225,Pousada Sol & Mar - Maragogi
320,Mosquera,CO,64.49,scattered clouds,4.7059,-74.2302,Hostal VIYAJE
324,Kuvandyk,RU,63.27,broken clouds,51.4781,57.3552,Hotel Kamenka
325,Santona,ES,70.7,overcast clouds,43.4439,-3.4576,Hotel Cosmopol
327,Nelson Bay,AU,61.0,overcast clouds,-32.7167,152.15,Hotel Nelson
328,Poso,ID,75.49,broken clouds,-1.3959,120.7524,Ancyra Hotel By Continent - Poso
329,Lubango,AO,61.03,clear sky,-14.9172,13.4925,Hotel Lubango
330,Wanaka,NZ,45.32,overcast clouds,-44.7,169.15,Wanaka Hotel
331,Lahat,ID,70.43,light rain,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
